"//Set of 6 Gold Standards described in Torvik VI, Smalheiser NR. A quantitative model for linking two disparate sets of articles in Medline. Bioinformatics 2007; 23(13): 1658-1665. This paper has supplemental files. http://dx.doi.org/10.1093/bioinformatics/btm161",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"//target is written as -2 = negative, -1 = unknown, 0 = target, 1= fragment of target, 2 = adjective of target, 3 = target but too general to be useful",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"//some missing values annotated by 99999 (MeSH), 0.9999 (cohesion), or 9999 (year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrowsmith search,A-lit size,C-lit size,B-term,target,nA,nC,nof MeSH in common,nof semantic categories,cohesion score,n in MEDLINE,1st year in MEDLINE,pAC,on medium stoplist?,on long stoplist?,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,preventing,-1,4,2,0,0,0.0580344,8763,1909,0.415550132,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prevention,-1,24,65,6,1,0.0725777,84799,1934,4.62E-07,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prevention control,-1,1,1,99999,0,0.135973,1143,1950,0.147376951,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,preventive,-2,4,18,0,1,0.0982962,14771,1949,0.000115393,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,primary,-1,30,6,1,2,0.0801906,136721,1935,0.999999992,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,primary familial,-1,1,1,0,2,0.160401,75,1950,0.000954106,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,principle,-1,5,1,0,0,0.0453819,24725,1942,0.996358022,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,problem,-1,15,21,0,3,0.0562166,137565,1930,0.999999994,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,problem occupational,-1,1,1,0,3,0.230519,239,1950,0.009087017,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,procaine,-1,14,1,1,2,0.128221,2323,1949,2.46E-11,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,procedure,-1,9,3,0,1,0.0650678,48284,1913,0.999836982,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,proceeding,-1,45,4,3,0,0.0647455,37170,1949,4.69E-07,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,process,-1,19,2,0,1,0.0425014,56019,1924,0.990040786,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,produce,-1,3,1,0,0,0.0708542,7702,1926,0.666503896,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,production,-1,34,2,1,2,0.0764816,85387,1934,0.986175262,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,production a,-1,2,1,99999,0,0.0856022,2547,1949,0.192540301,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,profile,-1,5,5,0,0,0.0504634,30583,1950,0.985251591,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,progestational,-1,2,1,1,4,0.217061,715,1950,0.009195356,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,progesterone,-1,3,5,1,4,0.181049,16418,1937,0.75198563,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,progestin,-1,1,2,0,4,0.197245,2418,1937,0.173619207,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prognostic,-1,4,2,1,1,0.208386,27056,1949,0.998609005,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prognostic significance,-1,1,1,1,2,0.202684,4678,1950,0.762920398,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,program,-1,2,2,0,1,0.0808686,66895,1925,1,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,progressive,-1,2,2,0,1,0.0999814,18449,1949,0.994720227,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prolactin,-1,4,13,3,5,0.175137,16703,1934,0.02439082,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prolapse,-1,2,10,1,2,0.249249,7018,1949,0.001240264,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prolonged,-1,22,4,1,1,0.0583205,26012,1932,0.008304434,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,propagation,-1,1,1,0,1,0.105528,3670,1949,0.637888796,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,property,-1,57,1,99999,1,0.0797947,104949,1936,0.712784636,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prophylactic,-1,3,59,1,1,0.109879,8779,1949,0,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prophylactic treatment,-1,1,38,0,1,0.109592,651,1950,0,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prophylaxis,-1,9,118,2,2,0.133077,17334,1949,0,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,proposal,-1,1,1,0,0,0.0555124,7980,1949,0.948876434,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,propranolol,-1,5,68,2,3,0.195291,7716,1964,0,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,propranolol hydrochloride,-1,2,1,1,2,0.192568,87,1966,2.18E-05,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prospective,-1,1,7,1,0,0.122896,34770,1932,0.999464159,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prospective study,-1,1,3,1,2,0.127165,13684,1954,0.960085834,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prostacyclin,0,2,2,2,2,0.191736,5023,1976,0.34583976,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prostaglandin,0,8,12,6,2,0.174417,32129,1939,0.438601255,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prostaglandin e1,0,2,1,1,2,0.16078,2701,1962,0.215750227,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,prostaglandin synthesis,0,1,1,1,3,0.220009,1382,1967,0.19729315,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,protein,-1,137,3,3,4,0.110508,387667,1913,1,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,provoked,-1,1,2,0,0,0.0632064,1182,1936,0.033980601,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,proximal,-1,9,1,0,2,0.0851206,16184,1949,0.486776685,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,psoriasis,-1,1,1,1,1,0.148981,10303,1949,0.983939073,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,psychiatric,-1,1,6,0,1,0.162576,39787,1949,0.999981038,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,psychosis,-1,5,2,0,1,0.227019,10213,1949,0.399617717,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,psychotic,-1,1,1,99999,2,0.208282,4364,1949,0.728639491,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,puberty,-1,1,1,1,2,0.245708,4669,1913,0.761992569,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,pulmonary,-1,16,2,4,1,0.1607,137914,1949,1,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,pulmonary disease,-1,2,1,1,1,0.176288,7476,1949,0.817107837,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,pulse,-1,1,7,0,2,0.105772,12766,1949,0.482078662,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,puncture,-1,1,1,99999,3,0.177567,7115,1949,0.922377849,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,pure,-1,2,1,99999,0,0.0572651,7199,1936,0.796970506,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,putative,-1,1,1,0,0,0.117454,8676,1959,0.963681272,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,pyelonephritis,-1,4,1,1,2,0.244364,5167,1950,0.193923424,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,quantitative,-1,19,3,0,1,0.0615991,55714,1949,0.982003553,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,question,-1,1,1,0,1,0.052348,14686,1949,0.998356101,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,questionnaire,-1,1,3,0,1,0.156318,8822,1947,0.763822155,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,radiologic,-1,1,2,0,1,0.120919,9232,1949,0.908928737,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,random,-1,2,2,0,1,0.0941571,6550,1949,0.541066821,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,randomised,-1,1,1,1,0,0.157591,5889,1966,0.862085996,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,ranitidine,-1,2,1,1,2,0.2762,2359,1979,0.165149335,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rapid,-1,21,1,0,2,0.0699594,45019,1949,0.839309244,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rare,-1,1,6,0,2,0.0694023,20063,1942,0.950459894,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rat,-1,564,1,3,2,0.105431,574201,1926,0,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rate,-1,44,3,2,0,0.0633229,81958,1916,0.601479968,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,ratio,-1,33,1,0,2,0.0592247,17460,1925,4.61E-09,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,re,-1,2,1,0,4,0.0497473,17371,1943,0.997777908,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reaction,-1,68,9,1,1,0.0685611,114747,1934,0.146469621,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reactive,-1,1,1,0,2,0.0903865,20113,1949,0.999911487,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reactivity,3,9,11,5,1,0.0803183,20105,1938,0.019470067,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reality,-1,1,1,0,1,0.0581848,6945,1949,0.915829285,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reappraisal,-1,1,1,0,0,0.0630756,3163,1950,0.557560137,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,recent,-1,6,5,0,1,0.046732,32424,1948,0.983186463,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,receptor,-1,33,9,11,3,0.0956519,238875,1949,1,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,receptor blocking agent,-1,1,2,1,5,0.229993,341,1964,0.001174266,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,recognition,-1,3,1,0,1,0.104222,25486,1949,0.999799466,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,recorded,-1,1,1,0,0,0.134182,3183,1925,0.560958548,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,recording,-1,1,2,0,0,0.141765,12775,1949,0.980525671,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,recovery,-1,12,3,0,1,0.0549023,28738,1928,0.718119277,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,recovery a,-1,1,1,0,1,0.0451737,741,1950,0.072022077,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rectal,-1,2,7,3,1,0.219235,15217,1946,0.543649428,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rectal suppository,-1,1,3,99999,2,0.220963,80,1950,2.01E-07,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,recurrence,-1,1,2,1,2,0.226527,14043,1936,0.989135116,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,recurrent,-1,10,10,1,1,0.123159,34300,1949,0.553954539,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,recurring,-1,2,1,1,0,0.0955166,1723,1949,0.083727694,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reduce,-1,4,1,0,0,0.0608166,20177,1949,0.991999938,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reduced,-1,17,2,2,0,0.0532524,21367,1939,0.056171348,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reducing,-1,1,1,0,0,0.0492007,10258,1916,0.98356801,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reference,-1,41,9,1,1,0.0602048,46900,1929,8.89E-05,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reflected,-1,1,1,0,0,0.057704,1230,1949,0.165259445,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reflex,-1,3,8,1,2,0.171269,25566,1949,0.886876977,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,refractory,-1,1,5,0,1,0.115968,10860,1949,0.619119655,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,regeneration,-1,1,1,99999,2,0.157284,15912,1949,0.999143948,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,region,-1,8,4,0,2,0.0985112,71859,1934,0.99999999,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,regional,-1,2,12,3,1,0.0957712,33073,1949,0.920650302,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,regulating,-1,3,1,0,0,0.0750998,6706,1949,0.559443168,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,regulation,-1,72,7,1,2,0.0970983,110862,1941,0.057827238,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rehabilitation,-1,1,1,99999,3,0.150245,28594,1949,0.999999182,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,related,-1,23,21,8,1,0.0607316,108331,1934,0.996568835,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relation,-1,82,24,9,1,0.0506175,86649,1939,1.50E-11,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relation certain,-1,1,1,0,1,0.0657277,133,1950,0.002932933,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relationship,-1,84,30,21,1,0.0511067,109753,1940,2.24E-08,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relationship blood,-1,3,1,0,3,0.100096,775,1949,0.001275599,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relationship plasma,-1,1,1,0,2,0.101191,937,1950,0.106953541,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relative,-1,10,1,1,2,0.0507171,20410,1940,0.659471612,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relative potency,-1,1,1,0,2,0.0809843,309,1950,0.01478176,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relaxation,-2,7,15,3,2,0.157274,11819,1949,4.39E-06,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,release,-1,57,14,6,3,0.0947077,68863,1949,1.07E-05,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,release reaction,-1,1,1,1,2,0.273405,283,1951,0.012524663,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,releasing,-1,1,2,0,0,0.181285,21705,1950,0.99974238,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relevance,-1,2,12,1,0,0.0468894,10741,1949,0.005850233,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relief,-1,2,8,0,3,0.131722,5998,1949,0.003623456,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,relieve,-1,1,1,0,0,0.0746531,736,1932,0.071188289,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,remark,-1,1,2,0,0,0.0533547,7521,1949,0.820213613,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,removal,-1,13,2,0,1,0.0655048,21411,1913,0.290263211,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,renal,-1,262,3,6,2,0.162551,153967,1949,0,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,renal clearance,-1,5,1,1,2,0.226557,848,1949,1.44E-05,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,repeated,-1,3,1,0,1,0.0791856,14885,1934,0.975539997,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,repetitive,-1,3,1,0,1,0.133185,5030,1949,0.346766641,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,report,-1,22,63,9,2,0.0667412,252292,1902,0.999999996,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,report a,-1,3,7,0,2,0.0646999,38751,1942,0.999144464,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,report a case,-1,2,5,99999,0,0.0738075,26903,1946,0.995729645,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,report case,-1,1,1,0,3,0.093726,16058,1902,0.999208215,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reproductive,-1,4,1,0,1,0.107326,16786,1940,0.969239448,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,required,-1,3,1,0,0,0.126757,18443,1936,0.994706131,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,requiring,-1,3,1,0,0,0.0797207,3482,1946,0.153527527,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,research,-1,20,11,2,1,0.0899752,102877,1934,0.999990683,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,resection,-1,5,1,1,1,0.171816,31788,1913,0.999820152,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reserpine,-1,6,7,3,2,0.143562,4949,1953,1.25E-05,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,resolution,-1,2,4,0,1,0.110035,18994,1949,0.967269806,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,respiratory,-1,12,1,0,1,0.132349,73886,1924,0.999999985,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,response,-1,85,29,20,2,0.0657565,231952,1937,0.980479638,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,responsive,-1,5,3,0,1,0.123595,6939,1934,0.057415467,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,responsiveness,-1,7,3,2,1,0.0814779,10962,1938,0.120871572,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,resting,-1,1,1,0,0,0.112051,5489,1949,0.834518319,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,restriction,-1,1,1,0,1,0.150465,14937,1949,0.998561048,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,result,-1,30,30,3,0,0.102505,149120,1902,0.999369671,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,result a,-1,1,10,0,0,0.111615,19257,1949,0.584927129,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,result treatment,-1,2,3,0,2,0.131374,6179,1949,0.3036057,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,retention,-1,19,1,0,4,0.0674823,15015,1937,0.000896467,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,retina,-1,1,1,99999,1,0.149432,15681,1949,0.999031581,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,retinal,-1,7,12,4,2,0.156657,31019,1949,0.469096454,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,retinal degeneration,-1,1,2,1,1,0.201123,968,1951,0.020456341,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reversal,-1,10,1,0,1,0.056065,9816,1949,0.034980378,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,reversible,-1,8,1,0,1,0.0575543,9931,1949,0.139650876,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,review,-1,22,44,1,1,0.0652783,129630,1903,0.900425541,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,review article,-1,1,1,0,1,0.0976207,874,1951,0.095284762,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,review case,-1,1,3,0,2,0.125952,6217,1949,0.500583446,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,review literature,-1,2,9,0,1,0.0818345,32958,1903,0.98574843,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rheumatic,-1,1,1,0,1,0.217017,15300,1949,0.998813578,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rheumatism,-1,5,1,99999,1,0.217025,5804,1949,0.13336733,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rhythm,-1,11,2,1,1,0.152618,16665,1937,0.194500018,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rich,-1,6,1,0,1,0.092636,9760,1950,0.356664398,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,risk,-1,11,1,1,2,0.135688,117903,1949,1,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,risk factor,-1,3,1,1,2,0.179325,30966,1959,0.999986413,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,roentgen,-1,1,1,99999,1,0.119263,8305,1949,0.956394201,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,role,-1,196,36,31,1,0.0480652,239797,1940,2.37E-12,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,role calcium,-1,14,1,0,4,0.116727,1615,1950,1.56E-13,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,role individual,-1,1,1,0,2,0.08131,195,1952,0.006153805,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,role pathogenesis,-1,1,2,0,3,0.0504906,596,1951,0.005608443,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,round,-1,1,1,0,0,0.0604693,6312,1950,0.886603026,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,route,-1,1,1,99999,1,0.0785519,9085,1949,0.970355806,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,royal,-1,1,1,99999,5,0.148099,4021,1949,0.686472653,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,rural,-1,2,1,0,1,0.163367,21736,1938,0.99974639,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,s adenosylmethionine,-1,1,1,0,2,0.180272,1117,1953,0.142113421,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,safety,-1,1,1,0,1,0.0979591,28021,1942,0.999998875,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,salicylate,-1,5,1,1,3,0.17177,3737,1949,0.025336868,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,salicylic acid,-1,2,1,1,2,0.16869,1483,1949,0.059058513,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,saline,-1,6,1,1,2,0.128958,4848,1903,0.027183031,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,salmon,-1,4,1,1,1,0.132232,3195,1949,0.043157433,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,salmon calcitonin,-1,2,1,1,3,0.210061,562,1969,0.004772471,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,salt,-1,102,4,4,4,0.130764,20925,1939,0,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,sample,-1,9,1,0,1,0.0841482,27795,1940,0.965037886,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,scanning,-1,1,1,0,0,0.0998137,22791,1950,0.99997959,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,schizophrenia,-1,15,3,1,2,0.198454,24997,1949,0.232421797,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,schizophrenic,-1,3,1,0,1,0.208098,12007,1949,0.92316721,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,school,-2,5,6,1,2,0.145447,45886,1943,0.999848135,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,school children,-1,2,2,0,1,0.14901,6641,1949,0.551834666,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,schoolchildren,-1,1,1,1,0,0.151829,3227,1950,0.568368943,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,sclerosis,-1,3,1,1,2,0.13292,30207,1949,0.999980162,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,second,-1,7,1,0,1,0.0644268,24117,1949,0.972549587,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,secondary,-1,12,4,0,2,0.0609272,41827,1942,0.974818965,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,secretion,-1,79,4,6,2,0.105457,64698,1916,2.55E-10,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,segregation analysis,-1,1,1,0,4,0.223576,430,1958,0.027316215,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,seizure,0,11,13,5,1,0.204822,16131,1949,5.93E-05,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,selection,-1,4,1,0,1,0.0736642,26161,1949,0.999396836,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,selective,-1,16,2,0,1,0.0578492,45975,1949,0.974545087,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,selectivity,-1,2,1,1,1,0.0890246,5525,1950,0.633659785,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,self,-1,5,14,0,1,0.0817585,46762,1944,0.965373685,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,sensitive,-1,25,3,0,2,0.0840097,33643,1949,0.049647576,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,sensitivity,-1,12,12,6,4,0.0717368,47583,1949,0.806614111,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,separate,-1,3,2,0,1,0.053734,4442,1949,0.126228531,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,sequela,-1,1,3,99999,1,0.0759505,8219,1949,0.714504581,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,sera,-1,9,1,0,2,0.134843,12936,1949,0.240586206,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,serial,-1,1,3,0,2,0.0755269,8636,1940,0.749365031,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,series,-1,2,5,99999,1,0.0792959,16840,1928,0.866934614,0,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,serotonin,0,5,66,8,5,0.154961,19334,1951,0,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,serotonin level,-1,1,7,2,5,0.151057,391,1957,1.64E-10,0,0,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,serum,-1,651,12,20,1,0.0783356,153523,1949,0,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,serum concentration,-1,11,2,0,1,0.077097,2851,1950,2.99E-08,1,1,,,,,,,,,,,,,,
magnesium vs migraine,6238,3205,serum correlation,-1,1,1,0,1,0.107345,24,1950,9.97E-05,1,1,,,,,,,,,,,,,,
